district,demvote
13,17.72%
14,20.14%
12,32.90%
5,35.33%
9,39.05%
1,55.55%
11,57.75%
7,58.26%
3,60.16%
6,60.32%
8,60.50%
4,65.07%
2,66.88%
10,70.35%
